ticker,security_type,reason,signals
SCWO,common_stock,profile_fields_present,2
SCWX,common_stock,profile_fields_present,2
SCX,common_stock,profile_fields_present,23
SD,common_stock,profile_fields_present,24
SDGR,common_stock,profile_fields_present,1
SDHC,common_stock,profile_fields_present,7
SDRL,common_stock,profile_fields_present,32
SEB,common_stock,profile_fields_present,42
SEDA,spac_or_blank_check,name_contains:ACQUISITION CORPORATION,30
SEDG,common_stock,profile_fields_present,22
SEE,common_stock,profile_fields_present,4
SEI,common_stock,profile_fields_present,46
SELF,common_stock,profile_fields_present,8
SEM,common_stock,profile_fields_present,29
SENEA,common_stock,profile_fields_present,73
SENS,common_stock,profile_fields_present,8
SEPA,spac_or_blank_check,name_contains:ACQUISITION CORP,6
SEPN,common_stock,profile_fields_present,7
SERA,common_stock,profile_fields_present,13
SERV,common_stock,profile_fields_present,8
SEVN,common_stock,profile_fields_present,11
SEZL,common_stock,profile_fields_present,59
SFB,exchange_traded_debt,name_contains:NOTES,7
SFBC,common_stock,profile_fields_present,17
SFBS,common_stock,profile_fields_present,11
SFIX,common_stock,profile_fields_present,1
SFL,common_stock,profile_fields_present,41
SFNC,common_stock,profile_fields_present,17
SFST,common_stock,profile_fields_present,28
SFYX,etf,is_etf=True,50
SG,common_stock,profile_fields_present,27
SGC,common_stock,profile_fields_present,12
SGHT,common_stock,profile_fields_present,8
SGML,common_stock,profile_fields_present,16
SGMT,common_stock,profile_fields_present,7
SGU,common_stock,profile_fields_present,7
SHAK,common_stock,profile_fields_present,25
SHAP,spac_or_blank_check,name_contains:ACQUISITION CORP,1
SHBI,common_stock,profile_fields_present,35
SHC,common_stock,profile_fields_present,16
SHCO,common_stock,profile_fields_present,34
SHCR,common_stock,profile_fields_present,43
SHEN,common_stock,profile_fields_present,5
SHIM,common_stock,profile_fields_present,17
SHIP,common_stock,profile_fields_present,43
SHLS,common_stock,profile_fields_present,18
SHMD,common_stock,profile_fields_present,14
SHO,common_stock,profile_fields_present,33
SHOO,common_stock,profile_fields_present,20
SHYF,common_stock,profile_fields_present,2
SI,common_stock,profile_fields_present,3
SIBN,common_stock,profile_fields_present,8
SIDU,common_stock,profile_fields_present,4
SIF,common_stock,profile_fields_present,27
SIG,common_stock,profile_fields_present,3
SIGA,common_stock,profile_fields_present,14
SII,common_stock,profile_fields_present,85
SILA,common_stock,profile_fields_present,10
SILC,common_stock,profile_fields_present,19
SILK,common_stock,profile_fields_present,9
SILV,common_stock,profile_fields_present,22
SION,common_stock,profile_fields_present,18
SIOX,common_stock,profile_fields_present,3
SITC,common_stock,profile_fields_present,10
SITE,common_stock,profile_fields_present,6
SIX,common_stock,profile_fields_present,5
